beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
12.500000,6171.969092,38099379.372810,0.668080,-1.303740,0.000209,0.017519,0.148213,0.038879,0.000066,0.394019,0.001378,42.572715,0.312420,0.000000,0.000000,6.048123,0.098124,36754.277100,1332.251500,4.906337,0.017163,-35.015354,0.139684,-2024.053767,42.754994
6.250000,3084.904524,9519724.429030,0.286293,-1.303065,0.000179,0.013751,0.046644,0.038729,0.000096,0.398278,0.001941,46.368266,0.444773,-0.000000,0.000001,3.121158,0.026402,9699.562917,208.054103,2.479865,0.012086,-37.806370,0.186119,-1034.802098,15.302826
4.166667,2052.965403,4216741.523761,0.451989,-1.299655,0.000424,0.083626,0.064645,0.038231,0.000098,0.396028,0.001881,48.810058,0.410439,0.000000,0.000001,2.082977,0.021875,4253.523556,101.855189,1.644025,0.007807,-40.082422,0.175069,-679.599789,10.402825
3.125000,1531.675164,2347607.653232,0.356085,-1.289594,0.000445,0.183763,0.038260,0.037678,0.000192,0.392393,0.003476,50.755274,0.751473,0.000000,0.000001,1.494650,0.014196,2147.732172,48.353886,1.221791,0.010818,-42.113846,0.270432,-477.929929,6.752326
2.500000,1210.349384,1466250.480610,0.240542,-1.266171,0.000376,0.368914,0.029161,0.038100,0.000138,0.406649,0.002848,56.567405,0.788664,0.000000,0.000001,1.066931,0.006027,1070.353083,14.616152,1.012993,0.007093,-45.366605,0.333673,-333.394725,3.494946
2.083333,991.199672,983578.899964,0.173194,-1.233499,0.000325,0.433127,0.020765,0.040322,0.000145,0.458292,0.003132,72.970485,0.960225,-0.000000,0.000000,0.797016,0.004379,574.876045,6.913699,0.951388,0.006502,-52.071994,0.345296,-239.421120,1.748352
1.785714,833.221267,695208.873863,0.239638,-1.197672,0.000524,0.460607,0.015202,0.042819,0.000086,0.519605,0.002048,94.919917,0.818040,0.000000,0.000001,0.630355,0.004086,347.203880,5.342483,0.924592,0.003645,-59.891329,0.301646,-182.592811,1.781296
1.562500,714.823097,511799.641305,0.183322,-1.162058,0.000458,0.440330,0.016359,0.044703,0.000079,0.570927,0.001765,116.644554,0.633238,0.000000,0.000001,0.521566,0.003758,230.567663,3.700570,0.888950,0.002748,-67.102083,0.194581,-146.347158,1.345946
1.388889,623.119084,389009.174254,0.147626,-1.127522,0.000415,0.424377,0.016985,0.045896,0.000095,0.607122,0.002406,134.464998,1.039575,0.000000,0.000001,0.449456,0.003808,167.146694,2.713213,0.840299,0.003329,-72.825441,0.293416,-122.955030,1.065565
1.250000,550.511533,303711.995075,0.177883,-1.095349,0.000556,0.384781,0.015454,0.046669,0.000129,0.633152,0.003010,148.999093,1.222704,0.000000,0.000000,0.398708,0.001383,129.246486,1.052649,0.788718,0.003748,-77.441808,0.289238,-107.053077,0.598913
1.136364,491.739329,242391.282653,0.106093,-1.065354,0.000365,0.359236,0.011366,0.047021,0.000152,0.649802,0.003769,160.542186,1.628928,-0.000000,0.000001,0.363857,0.002204,105.938034,1.399863,0.735899,0.004267,-81.352411,0.381201,-96.047288,0.760019
1.041667,443.392262,197124.635304,0.144900,-1.037721,0.000543,0.330172,0.010159,0.047006,0.000128,0.656647,0.002813,167.426492,1.097724,0.000000,0.000001,0.337287,0.002555,90.231392,1.446716,0.681706,0.002918,-83.989818,0.214303,-88.167989,0.771450
