beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
12.500000,376.581044,142191.220218,0.151615,-0.441453,0.000379,0.041671,0.050611,-0.000098,0.000172,0.008282,0.000122,0.008913,0.000165,-0.000001,0.000005,1.175277,0.006839,106.991994,1.086397,0.103525,0.001523,0.641294,0.002469,-29.344434,0.136680
6.250000,186.801286,35084.966994,0.134486,-0.434006,0.000672,0.107099,0.033872,-0.000030,0.000220,0.018941,0.000234,0.035151,0.000937,0.000009,0.000012,0.982642,0.007798,79.926869,1.051924,0.118382,0.001461,0.381481,0.010384,-26.111828,0.148391
4.166667,122.802483,15209.852901,0.058287,-0.421019,0.000437,0.206162,0.018176,-0.000067,0.000261,0.029881,0.000249,0.087122,0.001217,0.000002,0.000015,0.855971,0.006828,62.497277,0.952845,0.124505,0.001037,0.028171,0.006858,-23.336396,0.180414
3.125000,90.109149,8219.406059,0.037580,-0.401091,0.000376,0.301149,0.014367,0.000056,0.000166,0.042071,0.000336,0.173313,0.002655,0.000002,0.000013,0.765018,0.005475,50.660030,0.695513,0.131471,0.001051,-0.373124,0.011197,-21.072563,0.150683
2.500000,70.092358,4993.528692,0.048997,-0.376154,0.000612,0.327978,0.018736,-0.000016,0.000176,0.055027,0.000332,0.295261,0.003672,-0.000004,0.000018,0.695840,0.002574,42.257423,0.413519,0.137568,0.000829,-0.788524,0.012773,-19.242497,0.133265
2.083333,56.547345,3265.299657,0.047626,-0.348210,0.000714,0.348369,0.005711,0.000070,0.000134,0.068684,0.000254,0.461450,0.004672,0.000001,0.000013,0.636698,0.001537,35.588376,0.217909,0.143091,0.000530,-1.239459,0.017092,-17.631609,0.079718
1.785714,46.905820,2257.900496,0.030121,-0.320852,0.000527,0.338682,0.009223,0.000034,0.000231,0.081714,0.000410,0.648935,0.007374,-0.000000,0.000021,0.589450,0.003132,30.545529,0.348261,0.145917,0.000732,-1.647112,0.018184,-16.272937,0.108195
1.562500,39.706363,1626.461915,0.028827,-0.294127,0.000577,0.317483,0.004212,0.000026,0.000133,0.094076,0.000504,0.856332,0.009777,-0.000001,0.000017,0.550393,0.003506,26.631275,0.334436,0.146994,0.000787,-2.034115,0.022975,-15.128026,0.102268
1.388889,34.240236,1215.750924,0.034252,-0.270405,0.000771,0.284867,0.005435,0.000025,0.000162,0.105528,0.000624,1.076884,0.011430,0.000007,0.000019,0.518849,0.001934,23.697805,0.157132,0.146567,0.000866,-2.401526,0.023763,-14.224465,0.052558
1.250000,29.949688,935.136544,0.022098,-0.248742,0.000552,0.256330,0.003638,-0.000028,0.000213,0.115380,0.000600,1.285763,0.017943,0.000012,0.000022,0.491385,0.002354,21.228938,0.202321,0.144226,0.000750,-2.714433,0.037268,-13.400447,0.071656
1.136364,26.527376,737.446990,0.027327,-0.229503,0.000751,0.225537,0.004447,-0.000055,0.000313,0.124576,0.000638,1.491835,0.018519,-0.000004,0.000031,0.470254,0.001749,19.403572,0.152855,0.141563,0.000725,-2.991645,0.031726,-12.753778,0.063787
1.041667,23.749929,594.218457,0.024420,-0.212498,0.000733,0.200275,0.004031,-0.000027,0.000154,0.132748,0.000613,1.694646,0.012992,0.000007,0.000014,0.453148,0.002856,17.972481,0.222919,0.138279,0.000639,-3.255248,0.017400,-12.219990,0.087725
0.961538,21.461953,487.709691,0.016801,-0.197513,0.000546,0.176001,0.002464,0.000015,0.000273,0.140159,0.000388,1.883966,0.017238,0.000017,0.000014,0.437154,0.001585,16.700255,0.120039,0.134768,0.000373,-3.480486,0.030802,-11.733949,0.056106
0.892857,19.546769,406.698763,0.016202,-0.184137,0.000567,0.158611,0.002622,0.000085,0.000357,0.146623,0.000561,2.058453,0.021237,0.000008,0.000029,0.424708,0.001326,15.709668,0.127686,0.130914,0.000501,-3.679596,0.035158,-11.329666,0.074850
0.833333,17.914879,343.289613,0.017420,-0.171808,0.000653,0.138486,0.004893,0.000042,0.000215,0.153004,0.000403,2.237012,0.016397,0.000004,0.000036,0.413994,0.001329,14.873833,0.129873,0.127504,0.000336,-3.873480,0.026510,-10.975679,0.068498
0.781250,16.537633,294.053225,0.023629,-0.161505,0.000945,0.125679,0.003648,0.000024,0.000095,0.158331,0.000694,2.401035,0.022562,-0.000005,0.000026,0.405563,0.001347,14.229822,0.111794,0.123696,0.000542,-4.054781,0.027634,-10.695358,0.054302
0.735294,15.352833,254.690591,0.022669,-0.152495,0.000963,0.113368,0.003282,-0.000057,0.000174,0.162573,0.000573,2.531958,0.020023,-0.000004,0.000026,0.397960,0.001533,13.623955,0.104661,0.119539,0.000421,-4.191358,0.024282,-10.411337,0.047427
0.694444,14.296610,221.854028,0.011602,-0.143347,0.000522,0.098882,0.002352,-0.000032,0.000213,0.167458,0.000680,2.670131,0.023726,-0.000000,0.000030,0.391600,0.001548,13.185453,0.098269,0.116290,0.000472,-4.314935,0.028042,-10.223449,0.045418
0.657895,13.378647,195.281231,0.010122,-0.135486,0.000481,0.091071,0.001181,0.000057,0.000289,0.170900,0.000752,2.792731,0.020816,-0.000004,0.000037,0.384697,0.001828,12.608215,0.144195,0.112434,0.000495,-4.447043,0.020531,-9.924475,0.075088
0.625000,12.579169,173.457657,0.008759,-0.128958,0.000438,0.082591,0.002267,-0.000182,0.000217,0.174885,0.000656,2.915811,0.025347,-0.000014,0.000031,0.381181,0.001700,12.351917,0.128015,0.109303,0.000410,-4.557481,0.030136,-9.801171,0.066280
0.595238,11.866637,155.097913,0.014479,-0.122998,0.000760,0.075437,0.001393,0.000149,0.000312,0.177840,0.000647,3.000224,0.019556,-0.000006,0.000051,0.376203,0.001256,12.001932,0.082520,0.105857,0.000385,-4.623419,0.023307,-9.634172,0.046270
0.568182,11.208176,139.020348,0.016358,-0.116450,0.000900,0.068397,0.001446,-0.000090,0.000196,0.180882,0.000927,3.108165,0.024914,0.000020,0.000031,0.373117,0.001539,11.729997,0.134337,0.102774,0.000526,-4.727724,0.023663,-9.479001,0.080338
0.543478,10.639462,125.849644,0.012847,-0.111769,0.000739,0.062871,0.001483,-0.000115,0.000292,0.184015,0.000787,3.223380,0.026399,0.000016,0.000049,0.370253,0.001572,11.481870,0.077758,0.100008,0.000428,-4.838934,0.032342,-9.336863,0.032504
0.520833,10.113128,114.273524,0.013878,-0.106788,0.000833,0.058901,0.001547,0.000022,0.000157,0.186940,0.000949,3.329807,0.025887,-0.000023,0.000049,0.367347,0.001242,11.258411,0.094075,0.097364,0.000494,-4.937334,0.021238,-9.215809,0.054134
0.500000,9.635734,104.185640,0.012305,-0.102233,0.000769,0.053200,0.001619,0.000062,0.000249,0.188597,0.001063,3.375566,0.042443,0.000012,0.000054,0.365124,0.001401,11.056316,0.110882,0.094298,0.000531,-4.965921,0.047666,-9.093432,0.064371
0.480769,9.200773,95.431725,0.007552,-0.098050,0.000491,0.049271,0.001279,-0.000020,0.000257,0.190788,0.000432,3.468554,0.037067,0.000019,0.000049,0.364399,0.001064,10.937137,0.097573,0.091725,0.000208,-5.059938,0.052711,-9.004634,0.073707
0.462963,8.803928,87.762478,0.014931,-0.094265,0.001008,0.045287,0.000878,-0.000030,0.000199,0.193656,0.000733,3.569896,0.027916,0.000005,0.000030,0.362188,0.002239,10.765362,0.122744,0.089655,0.000339,-5.144695,0.033271,-8.907459,0.064853
0.446429,8.440870,81.028350,0.013417,-0.090861,0.000939,0.041844,0.001790,0.000007,0.000247,0.194977,0.000430,3.613703,0.026824,0.000008,0.000061,0.361258,0.001383,10.628187,0.085207,0.087043,0.000192,-5.177925,0.034466,-8.806515,0.048153
0.431034,8.097543,74.915799,0.012098,-0.087072,0.000877,0.038997,0.000845,0.000036,0.000169,0.197540,0.000793,3.710473,0.044124,0.000012,0.000051,0.360665,0.000595,10.537678,0.048525,0.085147,0.000342,-5.260966,0.053343,-8.739112,0.040409
0.416667,7.793640,69.728188,0.008740,-0.084523,0.000655,0.037301,0.001499,0.000003,0.000110,0.198971,0.000707,3.749867,0.026815,-0.000031,0.000075,0.359365,0.000754,10.412846,0.075861,0.082905,0.000295,-5.282048,0.029193,-8.658492,0.056310
0.403226,7.506153,64.959083,0.011340,-0.081727,0.000879,0.034702,0.001356,0.000049,0.000225,0.200524,0.000878,3.814539,0.033748,0.000014,0.000057,0.358920,0.000934,10.331832,0.051564,0.080856,0.000354,-5.340884,0.036793,-8.595267,0.035221
0.390625,7.237478,60.653070,0.008812,-0.078998,0.000705,0.032326,0.001420,0.000006,0.000274,0.201903,0.000843,3.863100,0.034570,-0.000010,0.000056,0.358246,0.002114,10.222830,0.112089,0.078869,0.000329,-5.377715,0.038241,-8.511687,0.054758
0.378788,6.981729,56.703369,0.006495,-0.075993,0.000536,0.030533,0.001141,0.000077,0.000292,0.203334,0.000892,3.903738,0.038620,-0.000006,0.000060,0.358298,0.001094,10.186669,0.060738,0.077020,0.000338,-5.399407,0.038029,-8.476861,0.038226
0.367647,6.752390,53.241400,0.010871,-0.073953,0.000924,0.027941,0.000953,-0.000021,0.000239,0.204754,0.000867,3.967420,0.032380,0.000013,0.000067,0.358351,0.001426,10.138406,0.069760,0.075277,0.000319,-5.458743,0.026614,-8.430526,0.036423
0.357143,6.532335,50.073787,0.007050,-0.071579,0.000617,0.027188,0.000855,0.000085,0.000155,0.206472,0.000505,4.040557,0.028346,0.000046,0.000084,0.357739,0.001091,10.020114,0.068269,0.073740,0.000180,-5.523107,0.032958,-8.336442,0.042421
0.347222,6.331234,47.232802,0.009867,-0.069811,0.000888,0.025530,0.001092,-0.000098,0.000245,0.207192,0.000813,4.081330,0.032413,-0.000016,0.000055,0.357868,0.002233,9.991268,0.158395,0.071942,0.000282,-5.566035,0.033854,-8.305769,0.092631
0.337838,6.136820,44.589824,0.012545,-0.067656,0.001160,0.024759,0.000882,0.000034,0.000241,0.208160,0.000515,4.094107,0.018056,0.000031,0.000076,0.359558,0.001055,10.008853,0.063040,0.070324,0.000174,-5.555997,0.019717,-8.278810,0.043191
0.328947,5.959195,42.206367,0.007620,-0.066124,0.000724,0.022972,0.000952,-0.000043,0.000268,0.209392,0.000656,4.149996,0.032470,0.000007,0.000053,0.358605,0.001019,9.885824,0.057092,0.068879,0.000216,-5.606361,0.039606,-8.189092,0.035853
0.320513,5.788761,39.992535,0.007806,-0.064404,0.000761,0.021686,0.001092,0.000094,0.000232,0.210413,0.000881,4.196598,0.040878,-0.000016,0.000053,0.359923,0.001558,9.925884,0.097203,0.067440,0.000282,-5.648061,0.041920,-8.192414,0.053703
0.312500,5.627637,37.956105,0.009693,-0.062764,0.000969,0.020565,0.000717,-0.000040,0.000104,0.211526,0.000781,4.232892,0.031882,-0.000018,0.000059,0.360223,0.001112,9.830707,0.077240,0.066102,0.000244,-5.670367,0.036542,-8.096761,0.049735
0.304878,5.477175,36.102179,0.005539,-0.061410,0.000568,0.019548,0.000856,0.000073,0.000211,0.211731,0.001343,4.247745,0.066596,0.000011,0.000094,0.360234,0.001849,9.811187,0.094244,0.064552,0.000410,-5.687001,0.069966,-8.078361,0.046819
0.297619,5.332652,34.369840,0.009665,-0.059928,0.001015,0.018747,0.000908,-0.000160,0.000263,0.213137,0.000669,4.302102,0.038692,-0.000000,0.000088,0.361493,0.001187,9.813175,0.075746,0.063434,0.000199,-5.728127,0.044629,-8.048646,0.047068
0.290698,5.187209,32.656283,0.006618,-0.057625,0.000711,0.017559,0.000749,0.000127,0.000237,0.213588,0.000788,4.308917,0.032101,-0.000052,0.000077,0.361629,0.001369,9.768934,0.076111,0.062089,0.000229,-5.724578,0.028641,-8.004472,0.047931
0.284091,5.056018,31.154968,0.006452,-0.056162,0.000710,0.016737,0.000627,0.000053,0.000258,0.215015,0.000996,4.378506,0.036794,-0.000057,0.000108,0.362770,0.001431,9.763463,0.096417,0.061084,0.000283,-5.787785,0.027534,-7.971024,0.058018
0.277778,4.935024,29.805576,0.006602,-0.055190,0.000743,0.016126,0.000468,0.000094,0.000289,0.215658,0.000517,4.383121,0.024605,0.000047,0.000068,0.363633,0.001029,9.737898,0.076563,0.059905,0.000144,-5.774788,0.031217,-7.926392,0.049308
