beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
12.500000,903.969641,818072.767593,0.327637,-0.314981,0.000205,0.059209,0.056224,-0.000045,0.000152,0.025922,0.000326,0.257432,0.005181,-0.000000,0.000000,0.474017,0.001416,85.312953,0.514438,0.324028,0.004070,-2.310056,0.031537,-58.992411,0.188243
6.250000,442.685558,196437.589322,0.296436,-0.303357,0.000371,0.189942,0.025815,0.000007,0.000142,0.053659,0.000474,1.110067,0.019941,0.000001,0.000001,0.447628,0.001517,75.952438,0.529391,0.335367,0.002963,-5.895328,0.067077,-55.558489,0.208725
4.166667,283.877101,80907.642185,0.123905,-0.282270,0.000232,0.293291,0.012015,-0.000073,0.000151,0.085214,0.000726,2.794244,0.042856,0.000000,0.000002,0.417579,0.001521,66.085207,0.537344,0.355060,0.003024,-9.929748,0.092407,-51.751815,0.247420
3.125000,202.741502,41347.639714,0.132527,-0.256854,0.000331,0.318469,0.015103,0.000016,0.000168,0.115616,0.000797,5.138746,0.077018,-0.000000,0.000002,0.386044,0.001040,56.451226,0.363988,0.361301,0.002489,-13.814741,0.126542,-47.742867,0.186751
2.500000,154.112182,23944.178246,0.110138,-0.231601,0.000344,0.308510,0.011369,-0.000032,0.000112,0.141835,0.000658,7.719833,0.063193,-0.000001,0.000002,0.360580,0.000953,49.190270,0.273761,0.354588,0.001645,-17.142519,0.085028,-44.473067,0.158078
2.083333,122.189498,15087.169732,0.105154,-0.208211,0.000394,0.271061,0.007273,0.000022,0.000127,0.162869,0.000870,10.163556,0.096600,-0.000001,0.000003,0.339655,0.001525,43.537953,0.304885,0.339311,0.001813,-19.800642,0.103117,-41.727179,0.131225
1.785714,100.088012,10147.767622,0.099620,-0.187885,0.000436,0.234840,0.006795,0.000004,0.000121,0.179318,0.000674,12.300455,0.114069,-0.000001,0.000003,0.323568,0.001222,39.429002,0.294914,0.320210,0.001203,-21.864919,0.142895,-39.618469,0.175179
1.562500,84.060782,7175.665180,0.084288,-0.170304,0.000421,0.198299,0.005383,0.000070,0.000124,0.191788,0.000873,14.068854,0.145828,-0.000001,0.000003,0.312092,0.001128,36.655967,0.280709,0.299669,0.001363,-23.451555,0.164386,-38.150392,0.188607
1.388889,72.084661,5290.710063,0.087623,-0.155476,0.000493,0.175151,0.005543,-0.000023,0.000116,0.201366,0.001630,15.608746,0.243701,-0.000000,0.000003,0.302922,0.001093,34.510236,0.267289,0.279675,0.002264,-24.836565,0.199457,-36.974333,0.178196
1.250000,62.855811,4032.750615,0.045585,-0.142849,0.000285,0.148748,0.004539,-0.000031,0.000179,0.208966,0.000911,16.715899,0.179152,-0.000001,0.000003,0.295639,0.000884,32.814113,0.186383,0.261208,0.001139,-25.663898,0.198703,-35.997793,0.132107
