beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
12.500000,188.956211,35894.513127,0.101520,-0.444781,0.000508,0.068558,0.037822,-0.000013,0.000189,0.003966,0.000089,0.003977,0.000085,-0.000009,0.000009,1.060106,0.003927,38.297262,0.204432,0.049579,0.001117,0.665775,0.001103,-11.041884,0.020360
6.250000,93.576788,8852.547944,0.032912,-0.435768,0.000329,0.147176,0.044497,0.000050,0.000272,0.017452,0.000203,0.019395,0.000296,0.000001,0.000023,0.968385,0.004545,33.497747,0.226401,0.109076,0.001269,0.629561,0.002409,-10.530343,0.025729
4.166667,61.440099,3839.893045,0.033982,-0.421601,0.000510,0.222877,0.023609,-0.000060,0.000286,0.029617,0.000190,0.044839,0.000649,0.000007,0.000045,0.861995,0.002622,27.866703,0.155765,0.123404,0.000792,0.495369,0.004563,-9.775966,0.028666
3.125000,45.043820,2078.518594,0.023149,-0.400876,0.000463,0.283032,0.011205,-0.000185,0.000353,0.042054,0.000256,0.088030,0.001300,0.000000,0.000033,0.774432,0.002699,23.203714,0.132507,0.131419,0.000801,0.302282,0.006645,-8.987346,0.025704
2.500000,35.039976,1268.289658,0.021052,-0.375999,0.000526,0.340583,0.007109,0.000040,0.000440,0.055349,0.000367,0.152130,0.002320,-0.000032,0.000035,0.704116,0.003712,19.556350,0.199585,0.138372,0.000917,0.083864,0.008356,-8.257873,0.046201
2.083333,28.287633,834.000011,0.026796,-0.348629,0.000804,0.345092,0.012917,0.000009,0.000295,0.068597,0.000245,0.232966,0.002911,-0.000011,0.000050,0.650128,0.003048,16.833225,0.136821,0.142910,0.000511,-0.132029,0.011518,-7.630591,0.031335
1.785714,23.448694,578.672530,0.030250,-0.320704,0.001059,0.336354,0.008488,0.000215,0.000300,0.081509,0.000416,0.327112,0.003603,-0.000009,0.000032,0.601266,0.002683,14.492018,0.123843,0.145552,0.000743,-0.337699,0.009536,-7.034030,0.035128
1.562500,19.873298,419.864310,0.021886,-0.294932,0.000875,0.315160,0.006830,0.000003,0.000253,0.093918,0.000728,0.432168,0.006348,0.000000,0.000035,0.564134,0.002707,12.784177,0.115649,0.146748,0.001138,-0.533762,0.011288,-6.553714,0.032702
1.388889,17.116679,314.653225,0.018595,-0.270251,0.000837,0.284719,0.006961,0.000019,0.000269,0.105105,0.000357,0.539300,0.004183,0.000007,0.000056,0.533573,0.001182,11.420817,0.050475,0.145978,0.000496,-0.710341,0.008684,-6.134776,0.020494
1.250000,14.963442,242.964568,0.020711,-0.248172,0.001036,0.256006,0.003321,0.000063,0.000267,0.115565,0.000511,0.647858,0.007291,0.000014,0.000056,0.510423,0.002179,10.419998,0.083807,0.144456,0.000639,-0.868628,0.014352,-5.804711,0.027261
1.136364,13.256195,192.613911,0.018511,-0.229091,0.001018,0.226917,0.004922,0.000059,0.000369,0.124860,0.000629,0.753843,0.006888,0.000003,0.000044,0.489984,0.001576,9.580853,0.061592,0.141887,0.000714,-1.012467,0.011164,-5.517742,0.024369
1.041667,11.874929,156.101979,0.017513,-0.212496,0.001051,0.200800,0.002700,-0.000078,0.000367,0.132870,0.000606,0.849798,0.007505,-0.000017,0.000041,0.474294,0.001760,8.926964,0.071043,0.138406,0.000632,-1.131881,0.011362,-5.273765,0.028410
