beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
12.500000,9117.173827,83131990.807589,0.497268,-1.849117,0.000155,0.057792,0.144302,0.194359,0.000063,9.679641,0.006154,24076.818452,29.852882,0.000000,0.000000,5.495118,0.063417,30488.657836,935.024821,120.523317,0.076618,-828.122008,0.501188,-1848.059119,36.870136
6.250000,4557.335637,20773878.219923,0.496081,-1.848335,0.000310,0.048945,0.080780,0.194449,0.000065,9.697906,0.006416,24259.298832,31.336885,-0.000000,0.000000,2.833850,0.025446,7931.710118,176.026439,60.375597,0.039940,-832.832531,0.527195,-931.871267,12.998470
4.166667,3034.686696,9212393.382360,0.356509,-1.845019,0.000334,0.137600,0.072229,0.194847,0.000084,9.746915,0.008322,24597.386760,41.028300,0.000000,0.000000,1.927631,0.013919,3596.615279,68.630827,40.453955,0.034539,-840.201921,0.689486,-620.906134,8.827429
3.125000,2266.106308,5137569.066152,0.332347,-1.832633,0.000415,0.254102,0.034543,0.196184,0.000088,9.890689,0.008759,25424.950495,44.388981,0.000000,0.000000,1.416988,0.015129,1908.394476,48.612308,30.788128,0.027265,-855.864167,0.749102,-447.867567,7.133431
2.500000,1792.289346,3214224.401850,0.269294,-1.800452,0.000421,0.511485,0.038665,0.199208,0.000122,10.207964,0.012525,27186.993001,67.038265,-0.000000,0.000000,1.001855,0.005751,926.060640,12.841908,25.420700,0.031190,-886.769353,1.108522,-307.103796,2.851333
2.083333,1473.215691,2171947.539393,0.145044,-1.762279,0.000272,0.429025,0.026676,0.201978,0.000120,10.502492,0.012290,28869.813672,66.842030,0.000000,0.000000,0.712869,0.004243,450.441511,5.559341,21.795203,0.025503,-915.283301,1.059900,-209.616589,1.450595
1.785714,1248.632541,1560421.082845,0.222113,-1.731384,0.000486,0.348354,0.021165,0.202853,0.000137,10.600860,0.014509,29490.013340,83.370550,-0.000000,0.000000,0.552075,0.003341,261.272837,3.251658,18.856626,0.025809,-926.281817,1.354904,-156.747402,1.207812
1.562500,1081.694911,1171230.115161,0.139555,-1.704237,0.000349,0.330157,0.019333,0.202498,0.000084,10.570972,0.008685,29402.038819,48.234014,-0.000000,0.000000,0.456525,0.002603,173.595862,2.346662,16.453073,0.013517,-926.130765,0.770777,-125.746649,1.069135
1.388889,952.701736,908668.750020,0.123089,-1.679474,0.000346,0.294669,0.014229,0.201347,0.000122,10.458973,0.012519,28864.749346,67.589113,-0.000000,0.000000,0.392322,0.001336,125.983028,1.004987,14.470045,0.017319,-918.934482,1.067281,-106.039039,0.553229
1.250000,850.006407,723430.625831,0.123140,-1.656270,0.000385,0.272314,0.009655,0.199468,0.000103,10.271421,0.010757,27906.965171,60.134489,-0.000000,0.000000,0.349706,0.001656,98.228323,0.970212,12.789542,0.013394,-904.649842,1.013471,-92.627387,0.520009
1.136364,766.600220,588511.531924,0.075830,-1.635188,0.000261,0.269643,0.017843,0.197208,0.000150,10.047630,0.015079,26782.197855,78.969322,-0.000000,0.000000,0.320508,0.002571,81.772837,1.381639,11.373567,0.017068,-887.506063,1.305948,-84.039147,0.764037
1.041667,697.231251,486891.201727,0.086077,-1.614617,0.000323,0.244319,0.012558,0.194236,0.000149,9.755072,0.014411,25323.394734,70.252020,0.000000,0.000000,0.298280,0.002158,70.141513,1.046144,10.122234,0.014952,-864.305295,1.140919,-77.380109,0.625005
0.961538,638.895425,408887.669377,0.148019,-1.595513,0.000601,0.239797,0.010882,0.191145,0.000112,9.454642,0.011217,23859.539681,57.579699,-0.000000,0.000000,0.284398,0.001480,63.517331,0.659607,9.055870,0.010744,-840.191951,1.039375,-73.444767,0.438926
0.892857,589.114909,347700.442553,0.076623,-1.577378,0.000335,0.214632,0.012669,0.187760,0.000144,9.131550,0.014115,22336.491004,70.355570,0.000000,0.000000,0.272887,0.001969,58.202814,0.981454,8.121693,0.012555,-814.357597,1.319180,-70.090560,0.726195
0.833333,546.206533,298941.560493,0.070897,-1.560343,0.000332,0.210048,0.011743,0.184237,0.000153,8.800170,0.013945,20816.120835,59.744402,-0.000000,0.000000,0.264324,0.002116,54.417177,0.846980,7.305189,0.011574,-787.472653,1.029769,-67.620816,0.580000
0.781250,508.802706,259438.293620,0.064025,-1.544014,0.000320,0.192551,0.012847,0.180700,0.000123,8.474007,0.011204,19373.694980,48.446553,0.000000,0.000000,0.258799,0.001772,51.837054,0.864125,6.594808,0.008718,-761.082027,0.907892,-65.762061,0.691622
0.735294,475.956938,227058.698640,0.084458,-1.528521,0.000449,0.186436,0.008460,0.177123,0.000117,8.150438,0.010659,17990.813934,46.615165,0.000000,0.000000,0.253255,0.001890,49.547483,0.887447,5.969901,0.007807,-734.779873,0.969636,-64.209798,0.741170
0.694444,446.931190,200240.817240,0.116303,-1.513988,0.000654,0.181187,0.006613,0.173546,0.000203,7.833460,0.018025,16688.156198,74.551975,0.000000,0.000001,0.249651,0.001508,48.181385,0.634797,5.418987,0.012469,-709.119319,1.555514,-63.329282,0.523929
0.657895,421.072925,177767.183961,0.060885,-1.500120,0.000362,0.170700,0.007155,0.169855,0.000195,7.512474,0.016721,15413.589693,65.483770,0.000000,0.000000,0.246912,0.001363,46.949398,0.600165,4.923436,0.010957,-682.907927,1.409988,-62.380035,0.532746
0.625000,397.910648,158772.218518,0.085880,-1.486942,0.000537,0.161784,0.009002,0.166475,0.000145,7.224692,0.012473,14313.228840,49.404138,0.000000,0.000000,0.245178,0.001680,46.366573,0.676455,4.498111,0.007766,-659.382796,1.154559,-62.034675,0.502418
0.595238,377.023037,142562.105815,0.062226,-1.474214,0.000408,0.151205,0.005281,0.163008,0.000118,6.936361,0.009878,13258.274675,36.945122,-0.000000,0.000000,0.243701,0.002086,45.709187,0.782939,4.112970,0.005857,-636.137628,0.892917,-61.516526,0.565147
0.568182,358.182312,128691.262050,0.051867,-1.462503,0.000357,0.150424,0.007499,0.159618,0.000057,6.659602,0.004517,12278.402093,16.375936,-0.000000,0.000001,0.242442,0.001599,45.168446,0.694226,3.769389,0.002556,-613.571108,0.458309,-61.098705,0.579306
0.543478,340.970399,116637.526371,0.092023,-1.450725,0.000661,0.139588,0.003476,0.156231,0.000141,6.388825,0.011375,11355.754453,40.399812,0.000000,0.000001,0.241257,0.001786,44.707406,0.771365,3.458922,0.006158,-591.478247,1.066395,-60.766032,0.637135
0.520833,325.357699,106216.282247,0.047375,-1.440183,0.000355,0.130039,0.003810,0.153071,0.000152,6.141096,0.011862,10540.679909,39.408720,0.000000,0.000001,0.241100,0.001576,44.669106,0.532179,3.186284,0.006154,-571.136952,1.055146,-60.755311,0.369839
0.500000,310.955572,97037.492236,0.072661,-1.429340,0.000568,0.129545,0.005177,0.149928,0.000101,5.900352,0.007647,9780.308819,24.899593,0.000000,0.000001,0.239927,0.002040,44.171610,0.791341,2.938937,0.003808,-551.525974,0.724862,-60.363519,0.604876
0.480769,297.794376,89010.557348,0.039047,-1.419579,0.000317,0.122153,0.003843,0.146837,0.000124,5.667996,0.009928,9072.760176,34.638878,-0.000000,0.000001,0.239416,0.001126,43.841762,0.369771,2.714632,0.004756,-532.564691,1.117557,-60.039028,0.273094
