beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
12.500000,14408.884731,207630326.771599,0.324049,-3.002776,0.000101,-0.161755,0.223200,0.496094,0.000000,63.003906,0.000000,1016190.003906,0.000000,-0.000002,0.000000,0.321147,0.000001,34.923122,0.000176,784.472466,0.000000,-5375.333333,0.000000,-35.248340,0.000071
6.250000,7194.163751,51763187.254397,0.358682,-2.996352,0.000224,0.003460,0.155292,0.479754,0.000059,58.937640,0.014389,890200.453737,432.950894,-0.000000,0.000000,0.219310,0.001507,55.153850,1.078890,366.921730,0.089582,-5033.702192,1.219371,-82.822427,1.094680
4.166667,4790.979162,22958286.864412,0.281330,-2.991543,0.000264,0.056544,0.069332,0.470388,0.000070,56.665767,0.016902,823291.722485,489.908312,0.000000,0.000000,0.197114,0.001478,41.052066,0.610777,235.185428,0.070149,-4841.968929,1.437650,-68.418822,0.620037
3.125000,3587.494459,12873731.020245,0.187049,-2.984368,0.000234,0.105459,0.032081,0.460828,0.000082,54.393214,0.019372,758978.043614,543.800702,-0.000000,0.000000,0.181281,0.000827,32.550686,0.407657,169.315159,0.060302,-4650.180395,1.677185,-58.851355,0.540213
2.500000,2863.583023,8203008.138869,0.200722,-2.974348,0.000314,0.143695,0.048519,0.450917,0.000115,52.085887,0.026610,696334.386207,714.712337,0.000000,0.000000,0.168702,0.000840,26.643103,0.221531,129.706402,0.066265,-4455.320374,2.298506,-51.642610,0.245421
2.083333,2379.522625,5664547.042747,0.134349,-2.961605,0.000252,0.154606,0.022126,0.440837,0.000060,49.790860,0.013660,636714.281134,353.413412,-0.000000,0.000000,0.160687,0.000893,23.167457,0.275206,103.326089,0.028348,-4261.591124,1.200082,-47.057722,0.353702
1.785714,2032.645892,4133735.614872,0.153322,-2.946413,0.000335,0.209466,0.049857,0.430504,0.000076,47.491895,0.016598,579652.196859,401.210510,0.000000,0.000000,0.154899,0.000706,20.837987,0.235368,84.476001,0.029524,-4067.428462,1.394852,-43.840912,0.323848
1.562500,1771.872104,3141363.743676,0.091570,-2.929680,0.000229,0.238712,0.044694,0.420298,0.000119,45.274909,0.025665,527173.129011,597.910302,-0.000000,0.000000,0.151488,0.000606,19.333148,0.120613,70.466029,0.039945,-3880.273819,2.202021,-41.540214,0.137945
1.388889,1568.528070,2461908.300894,0.161343,-2.911485,0.000454,0.232189,0.028706,0.410198,0.000115,43.133364,0.024255,478844.353965,540.200566,0.000000,0.000000,0.150073,0.000618,18.623019,0.151816,59.673753,0.033556,-3699.493489,2.097872,-40.363789,0.202526
1.250000,1405.566001,1977085.474781,0.124527,-2.892394,0.000389,0.250430,0.028344,0.400253,0.000085,41.075294,0.017631,434574.585416,378.150383,-0.000000,0.000000,0.149634,0.001001,18.213511,0.241325,51.143865,0.021954,-3525.649539,1.556993,-39.571977,0.295640
1.136364,1271.926950,1619135.712958,0.152956,-2.872249,0.000526,0.256236,0.017790,0.390598,0.000090,39.125437,0.017812,394609.449525,351.367292,-0.000000,0.000000,0.150354,0.000557,18.210085,0.143231,44.287353,0.020161,-3360.916591,1.467242,-39.371060,0.204130
1.041667,1160.445953,1347860.983011,0.119106,-2.851672,0.000447,0.256692,0.018143,0.381213,0.000171,37.276146,0.033586,358499.913049,650.604066,0.000000,0.000000,0.151921,0.000974,18.423170,0.236604,38.677940,0.034850,-3204.800067,2.932788,-39.421516,0.328684
0.961538,1066.075932,1137650.891298,0.089944,-2.830933,0.000365,0.261385,0.020091,0.372125,0.000110,35.528421,0.020806,325980.118643,377.453273,-0.000000,0.000000,0.153327,0.000546,18.631146,0.180302,34.028793,0.019927,-3057.396628,1.757479,-39.503607,0.277889
0.892857,985.133270,971538.676648,0.188191,-2.809958,0.000823,0.257611,0.021017,0.363404,0.000179,33.891173,0.033497,296915.515395,588.340824,-0.000000,0.000000,0.154923,0.000962,18.898775,0.258429,30.142063,0.029792,-2919.280778,2.907657,-39.660949,0.326594
