beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
12.500000,8254.416619,68143140.167141,0.259147,-1.829505,0.000081,-1.984518,0.159545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000000,1.136593,0.000010,557.887655,0.007840,0.000000,0.000000,-nan,-nan,-162.614069,0.000948
6.250000,4111.125853,16905251.441213,0.208434,-1.819454,0.000130,-0.841825,0.058590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.108202,0.000002,7.953577,0.000287,0.000000,0.000000,-nan,-nan,-23.502240,0.000407
4.166667,2763.346957,7638673.244977,0.182368,-1.840638,0.000171,-0.689609,0.050819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000006,0.000000,0.113201,0.000003,7.812704,0.000369,0.000000,0.000000,-nan,-nan,-22.005424,0.000498
3.125000,2071.038361,4291156.430485,0.162944,-1.838798,0.000204,-0.447372,0.038941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000000,0.048495,0.000001,1.657634,0.000090,0.000000,0.000000,-nan,-nan,-10.393930,0.000352
2.500000,1656.354219,2745036.372711,0.118360,-1.838053,0.000185,-0.505056,0.019385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000014,0.000000,0.145964,0.000004,11.450620,0.000599,0.000000,0.000000,-nan,-nan,-25.149479,0.000649
2.083333,1376.996832,1897501.035004,0.089124,-1.831869,0.000167,0.014668,0.025357,0.000002,0.000003,0.000330,0.000005,0.000416,0.000015,0.000000,0.000000,0.101843,0.000480,9.229811,0.094976,0.000688,0.000010,0.580495,0.009685,-29.208646,0.174601
1.785714,1179.077692,1391415.559968,0.119979,-1.829232,0.000262,0.047907,0.027253,-0.000001,0.000009,0.001008,0.000014,0.001794,0.000042,0.000000,0.000000,0.097093,0.000526,8.362325,0.105878,0.001800,0.000025,0.407091,0.006871,-27.707959,0.211791
1.562500,1029.072348,1060044.891082,0.106460,-1.822681,0.000266,0.101211,0.018327,0.000005,0.000016,0.002386,0.000029,0.006746,0.000195,-0.000000,0.000000,0.095170,0.000336,8.016876,0.072437,0.003728,0.000046,0.057624,0.016647,-27.078636,0.167969
1.388889,910.758585,830439.889169,0.104199,-1.811509,0.000293,0.187186,0.015676,-0.000003,0.000022,0.004695,0.000023,0.021701,0.000305,0.000000,0.000000,0.095369,0.000468,7.987308,0.080677,0.006521,0.000031,-0.540703,0.017620,-26.916724,0.165425
1.250000,813.623022,662870.896162,0.127092,-1.792572,0.000397,0.292324,0.010799,-0.000008,0.000029,0.008134,0.000057,0.058883,0.000753,-0.000000,0.000000,0.098445,0.000434,8.427604,0.070743,0.010167,0.000071,-1.413059,0.019062,-27.535302,0.126255
1.136364,731.051643,535282.232217,0.095425,-1.762990,0.000328,0.447917,0.011925,0.000003,0.000030,0.013025,0.000085,0.144509,0.001996,0.000000,0.000000,0.105502,0.000677,9.569244,0.140325,0.014801,0.000097,-2.698260,0.033042,-29.232507,0.261922
1.041667,658.023753,433834.183643,0.202963,-1.717589,0.000761,0.706481,0.027283,-0.000014,0.000077,0.019814,0.000124,0.324043,0.004863,0.000000,0.000000,0.117555,0.000369,11.728794,0.091002,0.020640,0.000129,-4.451143,0.056975,-32.257280,0.176463
