beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
12.500000,752.673351,567273.199879,0.235215,-0.440842,0.000294,0.051530,0.089417,-0.000004,0.000125,0.009172,0.000115,0.016324,0.000507,-0.000001,0.000003,1.185333,0.007853,242.475713,2.695722,0.114644,0.001443,0.406821,0.012434,-67.185945,0.351276
6.250000,373.607107,139963.046787,0.106672,-0.434018,0.000267,0.111842,0.032816,-0.000045,0.000131,0.018898,0.000181,0.069085,0.001491,-0.000001,0.000003,0.976604,0.007570,170.532232,2.547071,0.118113,0.001132,-0.218437,0.016708,-57.202771,0.437857
4.166667,245.578353,60566.730011,0.107757,-0.420919,0.000404,0.193947,0.015984,-0.000006,0.000165,0.029799,0.000176,0.172199,0.002077,0.000002,0.000003,0.855812,0.005416,132.573308,1.703750,0.124164,0.000735,-0.926139,0.013632,-50.634399,0.348474
3.125000,180.193508,32668.380070,0.066368,-0.400968,0.000332,0.288779,0.013448,-0.000003,0.000133,0.042067,0.000273,0.342862,0.006106,-0.000002,0.000004,0.763332,0.004068,106.522828,1.275210,0.131458,0.000852,-1.716650,0.033623,-45.515160,0.338952
2.500000,140.157066,19805.347710,0.059413,-0.375982,0.000371,0.330999,0.011208,0.000070,0.000157,0.055143,0.000307,0.589117,0.006842,-0.000002,0.000005,0.688751,0.004330,86.906971,1.165625,0.137856,0.000767,-2.561073,0.023763,-41.058346,0.302280
2.083333,113.092652,12925.283416,0.058146,-0.348195,0.000436,0.347491,0.007843,-0.000037,0.000124,0.068828,0.000272,0.918333,0.009548,-0.000001,0.000004,0.630410,0.003536,72.953686,0.729179,0.143391,0.000568,-3.447418,0.035323,-37.573958,0.199303
1.785714,93.823355,8918.039663,0.044797,-0.320954,0.000392,0.334256,0.006699,-0.000063,0.000197,0.081530,0.000257,1.283748,0.005478,-0.000001,0.000005,0.583258,0.002256,62.410757,0.456100,0.145588,0.000459,-4.248627,0.023246,-34.667497,0.147518
1.562500,79.450687,6411.826787,0.038892,-0.294507,0.000389,0.311921,0.005942,-0.000061,0.000200,0.093939,0.000332,1.703401,0.010780,0.000002,0.000006,0.545473,0.003562,54.737770,0.666831,0.146779,0.000519,-5.044318,0.021532,-32.448609,0.209818
1.388889,68.452550,4772.490790,0.052857,-0.270091,0.000595,0.285685,0.007681,0.000047,0.000172,0.105633,0.000637,2.153996,0.028158,0.000001,0.000008,0.509335,0.002813,47.730005,0.662500,0.146712,0.000884,-5.796883,0.053134,-30.235445,0.267434
1.250000,59.904976,3664.964270,0.062321,-0.248812,0.000779,0.257020,0.004928,-0.000026,0.000161,0.115351,0.000460,2.560402,0.027506,-0.000001,0.000007,0.483152,0.001700,42.846603,0.302133,0.144188,0.000575,-6.398740,0.056327,-28.560233,0.129544
1.136364,53.065722,2883.530408,0.035873,-0.229654,0.000493,0.226446,0.002692,-0.000023,0.000183,0.124656,0.000642,2.990922,0.029975,-0.000001,0.000011,0.460910,0.002020,38.960351,0.390671,0.141655,0.000730,-6.997651,0.049991,-27.175805,0.180022
1.041667,47.496536,2316.265602,0.041495,-0.212448,0.000622,0.200725,0.002777,0.000085,0.000114,0.132893,0.000490,3.402374,0.028751,-0.000004,0.000011,0.443100,0.002039,35.926304,0.298161,0.138431,0.000510,-7.534011,0.052412,-26.026116,0.121673
0.961538,42.903667,1894.971621,0.026080,-0.197185,0.000424,0.177229,0.004838,0.000004,0.000144,0.139806,0.000448,3.761848,0.032090,-0.000001,0.000007,0.427961,0.001902,33.557401,0.392919,0.134429,0.000431,-7.969081,0.051803,-25.136672,0.200300
0.892857,39.067561,1575.226305,0.023183,-0.183682,0.000406,0.154436,0.003539,0.000065,0.000108,0.146647,0.000592,4.125673,0.029038,0.000005,0.000012,0.414308,0.001373,31.412757,0.241376,0.130934,0.000528,-8.377784,0.048877,-24.272966,0.127711
0.833333,35.856063,1330.412039,0.031778,-0.172301,0.000596,0.139027,0.002819,0.000010,0.000108,0.152618,0.000624,4.477543,0.045132,-0.000003,0.000011,0.403064,0.001427,29.711829,0.194349,0.127182,0.000520,-8.779225,0.069966,-23.571465,0.101522
0.781250,33.069004,1134.557896,0.027767,-0.161380,0.000555,0.123892,0.003459,-0.000033,0.000108,0.157884,0.000293,4.766737,0.027049,0.000006,0.000012,0.394081,0.001462,28.277477,0.217090,0.123347,0.000229,-9.063769,0.044517,-22.918282,0.120035
0.735294,30.676496,979.009964,0.023046,-0.151876,0.000490,0.113836,0.002764,-0.000019,0.000167,0.162577,0.000855,5.062713,0.060718,0.000002,0.000013,0.384489,0.000989,26.953475,0.153840,0.119542,0.000629,-9.379784,0.074523,-22.367349,0.115962
0.694444,28.599627,852.950409,0.019038,-0.143492,0.000428,0.100184,0.002119,-0.000003,0.000142,0.166959,0.000816,5.345148,0.063918,0.000003,0.000011,0.377630,0.001896,25.903119,0.226232,0.115944,0.000566,-9.671305,0.088014,-21.864342,0.114077
0.657895,26.754875,748.378063,0.020764,-0.135428,0.000493,0.090616,0.002739,0.000007,0.000221,0.170763,0.000763,5.582434,0.057536,-0.000000,0.000008,0.370409,0.001580,24.861617,0.308118,0.112344,0.000502,-9.896794,0.070803,-21.372385,0.188561
0.625000,25.165902,663.787784,0.017466,-0.129148,0.000437,0.082796,0.001523,0.000066,0.000203,0.174724,0.000618,5.861403,0.050693,0.000001,0.000013,0.365499,0.000743,24.130159,0.158760,0.109202,0.000386,-10.182095,0.068623,-21.006388,0.106035
