beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.416667,64.401922,4222.959694,0.043176,-0.353768,0.000405,0.042767,0.002179,-0.000024,0.000076,0.239244,0.000936,43.710467,0.307663,0.000000,0.000002,0.269433,0.000966,54.952659,0.580128,0.099685,0.000390,-59.900300,0.270363,-66.984201,0.507617
0.403226,61.981170,3913.963056,0.030099,-0.350443,0.000292,0.040295,0.000999,-0.000054,0.000115,0.240376,0.001442,44.203572,0.514441,0.000001,0.000003,0.269066,0.001311,54.665871,0.695447,0.096926,0.000581,-60.296215,0.408274,-66.720905,0.588582
0.390625,59.719077,3635.781165,0.035268,-0.347191,0.000353,0.037862,0.001188,-0.000049,0.000123,0.241635,0.000992,44.595339,0.513046,-0.000001,0.000002,0.267821,0.001455,54.115442,0.682191,0.094389,0.000388,-60.517102,0.478992,-66.350284,0.517566
0.378788,57.622934,3387.198930,0.055052,-0.344237,0.000568,0.035822,0.001082,0.000010,0.000119,0.241535,0.001163,44.752395,0.440618,-0.000001,0.000002,0.267848,0.001239,53.962434,0.713895,0.091491,0.000440,-60.759682,0.333156,-66.153001,0.591128
0.367647,55.681353,3164.495437,0.039504,-0.341614,0.000420,0.032810,0.001401,-0.000007,0.000108,0.242046,0.000842,44.764257,0.350319,0.000001,0.000003,0.266444,0.001344,53.360372,0.735674,0.088987,0.000310,-60.646335,0.302390,-65.753636,0.619373
0.357143,53.849071,2961.516779,0.018408,-0.338974,0.000201,0.031035,0.001050,0.000028,0.000122,0.242478,0.001089,45.179172,0.465304,0.000000,0.000001,0.265964,0.001110,53.095000,0.441997,0.086599,0.000389,-61.106409,0.417794,-65.543371,0.344717
0.347222,52.137596,2778.177516,0.031138,-0.336548,0.000350,0.030117,0.001344,-0.000034,0.000109,0.242981,0.001186,45.188351,0.514584,0.000000,0.000002,0.265367,0.000974,52.885952,0.539337,0.084368,0.000412,-60.989893,0.448907,-65.429790,0.454692
0.337838,50.532513,2611.282381,0.025228,-0.334282,0.000292,0.028181,0.000816,-0.000016,0.000080,0.242939,0.001521,45.209972,0.752831,0.000001,0.000002,0.265418,0.001164,52.962649,0.431009,0.082074,0.000514,-61.028333,0.690646,-65.513950,0.322236
0.328947,49.015804,2458.420546,0.045806,-0.332063,0.000544,0.026772,0.001120,0.000011,0.000138,0.243992,0.001032,45.551068,0.375570,-0.000000,0.000003,0.265606,0.001289,52.954769,0.584546,0.080260,0.000340,-61.229677,0.322648,-65.456342,0.482932
0.320513,47.599739,2319.787751,0.037936,-0.330122,0.000462,0.025201,0.001053,-0.000027,0.000136,0.244256,0.001405,45.680547,0.634646,0.000001,0.000002,0.264628,0.000966,52.461092,0.563448,0.078287,0.000450,-61.337227,0.565060,-65.080310,0.515251
0.312500,46.230474,2189.732652,0.030992,-0.327881,0.000387,0.024393,0.000734,0.000058,0.000099,0.243889,0.001125,45.588179,0.456615,0.000001,0.000003,0.264252,0.000829,52.336742,0.463010,0.076215,0.000352,-61.305927,0.371004,-65.017929,0.439473
0.304878,44.978006,2074.184568,0.040671,-0.326281,0.000521,0.024156,0.000957,-0.000006,0.000089,0.244536,0.000889,45.855192,0.477137,-0.000000,0.000002,0.264241,0.001448,52.352146,0.616078,0.074554,0.000271,-61.505440,0.509700,-65.039133,0.491957
0.297619,43.748268,1963.274218,0.025155,-0.324196,0.000330,0.021931,0.000808,0.000003,0.000099,0.245112,0.001006,45.932412,0.403014,0.000000,0.000002,0.263768,0.000987,52.146862,0.475366,0.072950,0.000299,-61.463736,0.355864,-64.898729,0.393608
0.290698,42.610976,1863.779788,0.032746,-0.322585,0.000440,0.021377,0.001104,0.000056,0.000082,0.244118,0.000865,45.638807,0.343245,-0.000001,0.000003,0.263429,0.000223,52.060751,0.201526,0.070965,0.000251,-61.317355,0.318113,-64.875872,0.266409
0.284091,41.525133,1771.016917,0.041666,-0.320971,0.000573,0.020130,0.000848,0.000018,0.000147,0.245271,0.000767,45.968751,0.303280,0.000000,0.000002,0.263677,0.000669,51.924911,0.279864,0.069679,0.000218,-61.473322,0.368190,-64.641666,0.220665
0.277778,40.498065,1685.446827,0.021513,-0.319504,0.000303,0.018965,0.000509,-0.000065,0.000097,0.245549,0.001187,46.145630,0.478215,0.000001,0.000002,0.262908,0.001121,51.591284,0.514529,0.068208,0.000330,-61.641203,0.379422,-64.409690,0.393610
0.271739,39.481895,1603.057045,0.031158,-0.317552,0.000448,0.018571,0.000667,-0.000008,0.000117,0.245576,0.000817,46.176852,0.358586,-0.000000,0.000003,0.262603,0.001385,51.381360,0.658440,0.066733,0.000222,-61.677438,0.298360,-64.218149,0.507090
0.265957,38.552978,1529.373436,0.033053,-0.316247,0.000485,0.017528,0.000804,-0.000025,0.000093,0.246070,0.001072,46.410115,0.414607,0.000001,0.000002,0.263337,0.001124,51.724852,0.356601,0.065444,0.000285,-61.867535,0.343621,-64.473381,0.308616
0.260417,37.659648,1460.220962,0.028852,-0.314895,0.000433,0.016841,0.000680,0.000023,0.000138,0.245553,0.001022,46.149284,0.313103,-0.000001,0.000002,0.261879,0.001227,51.053531,0.607541,0.063946,0.000266,-61.646545,0.286188,-63.981723,0.521564
0.255102,36.806268,1395.601250,0.017451,-0.313596,0.000267,0.015990,0.000832,0.000007,0.000043,0.246288,0.000801,46.629978,0.522925,-0.000002,0.000004,0.262560,0.000952,51.449227,0.428147,0.062829,0.000204,-62.109126,0.553327,-64.316809,0.387773
0.250000,36.005954,1336.435902,0.023231,-0.312593,0.000363,0.015628,0.001121,-0.000027,0.000094,0.245486,0.000823,46.150981,0.392456,0.000001,0.000001,0.262886,0.001424,51.459298,0.683403,0.061371,0.000206,-61.665332,0.362967,-64.246599,0.545679
