beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
12.500000,14466.965803,209307274.416167,0.516890,-3.270927,0.000162,-1.142039,0.317125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.037298,0.000001,1.301812,0.000030,0.000000,0.000000,-nan,-nan,-10.634479,0.000138
6.250000,6848.159493,46903929.412651,0.440633,-3.030100,0.000275,-0.810088,0.115415,-0.003906,0.000000,0.003906,0.000000,0.003906,0.000000,-0.000001,0.000000,0.054123,0.000001,2.623605,0.000084,0.024319,0.000000,0.666667,0.000000,-15.158380,0.000325
4.166667,4851.066394,23537579.942384,0.247345,-3.297875,0.000232,-0.454469,0.079066,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.026920,0.000000,0.395292,0.000009,0.000000,0.000000,-nan,-nan,-3.894676,0.000067
3.125000,3632.790011,13200733.405461,0.223452,-3.290988,0.000279,-0.244916,0.032278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010674,0.000000,0.090663,0.000005,0.000000,0.000000,-nan,-nan,-1.831369,0.000117
2.500000,2721.493449,7409172.869717,0.192363,-3.002334,0.000301,-0.293960,0.052792,-0.007812,0.000000,0.015625,0.000000,0.062500,0.000000,0.000009,0.000000,0.049678,0.000001,1.509215,0.000050,0.038910,0.000000,-0.333333,0.000000,-9.126658,0.000172
2.083333,2414.621305,5832780.548495,0.234232,-3.277415,0.000439,-0.117868,0.043801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018907,0.000000,0.196613,0.000007,0.000000,0.000000,-nan,-nan,-2.466378,0.000052
1.785714,2068.114201,4279129.699653,0.092294,-3.274000,0.000202,-0.135826,0.034686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000008,0.000000,0.030696,0.000001,0.663277,0.000044,0.000000,0.000000,-nan,-nan,-6.202730,0.000256
1.562500,1705.212826,2909428.265304,0.168470,-3.013032,0.000421,-0.108429,0.022797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000000,0.018812,0.000001,0.277316,0.000021,0.000000,0.000000,-nan,-nan,-3.913696,0.000228
1.388889,1527.843678,2335786.979298,0.165462,-3.047060,0.000465,-0.184360,0.033930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000036,0.000000,0.548523,0.000004,94.061874,0.001428,0.000000,0.000000,-nan,-nan,-56.160698,0.000434
1.250000,1452.956595,2112518.529797,0.101185,-3.290489,0.000316,-0.067594,0.036904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003147,0.000000,0.012586,0.000001,0.000000,0.000000,-nan,-nan,-0.333333,0.000000
1.136364,1313.709178,1727119.511784,0.077439,-3.265875,0.000266,-0.101593,0.021067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016315,0.000001,0.213871,0.000022,0.000000,0.000000,-nan,-nan,-3.369526,0.000300
1.041667,1209.796764,1464797.419102,0.129428,-3.286738,0.000485,-0.080487,0.024100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010578,0.000000,0.055322,0.000003,0.000000,0.000000,-nan,-nan,-0.743273,0.000067
0.961538,1115.169929,1244690.631647,0.079201,-3.280378,0.000322,-0.111387,0.016060,0.003906,0.000000,0.003906,0.000000,0.003906,0.000000,0.000004,0.000000,0.017491,0.000001,0.204863,0.000012,0.003741,0.000000,0.666667,0.000000,-2.904253,0.000121
0.892857,1039.554098,1081699.412950,0.102250,-3.298049,0.000447,-0.050290,0.020712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004751,0.000000,0.031524,0.000003,0.000000,0.000000,-nan,-nan,-1.211932,0.000078
0.833333,966.329851,934775.541681,0.113781,-3.279671,0.000533,0.061789,0.016738,-0.000003,0.000008,0.001335,0.000010,0.002699,0.000043,0.000000,0.000000,0.020993,0.000069,0.448893,0.003819,0.001112,0.000008,0.326039,0.008754,-6.127475,0.042106
0.781250,904.618205,819264.995913,0.093712,-3.273091,0.000469,0.102625,0.009073,0.000004,0.000011,0.002022,0.000017,0.005148,0.000108,-0.000000,0.000000,0.021598,0.000106,0.468129,0.005024,0.001580,0.000013,0.151578,0.012084,-6.224843,0.047547
0.735294,849.782919,723012.856875,0.090648,-3.264472,0.000482,0.125220,0.019018,0.000005,0.000022,0.002923,0.000032,0.009472,0.000171,0.000000,0.000000,0.022533,0.000079,0.500169,0.004032,0.002149,0.000023,-0.080049,0.011165,-6.398959,0.038941
0.694444,800.430397,641530.243119,0.063374,-3.252421,0.000356,0.160110,0.012181,0.000009,0.000027,0.004048,0.000023,0.016619,0.000274,0.000000,0.000000,0.023916,0.000069,0.550809,0.004690,0.002811,0.000016,-0.368333,0.016541,-6.677003,0.050342
0.657895,755.719622,571922.642974,0.090864,-3.237085,0.000540,0.213938,0.012802,0.000002,0.000013,0.005503,0.000047,0.028635,0.000429,-0.000000,0.000000,0.025911,0.000140,0.633567,0.006955,0.003620,0.000031,-0.734412,0.015274,-7.150350,0.051941
0.625000,714.898555,511862.240341,0.095577,-3.218116,0.000597,0.263237,0.019568,0.000017,0.000033,0.007175,0.000065,0.046533,0.000932,0.000000,0.000000,0.028221,0.000069,0.732029,0.005712,0.004484,0.000041,-1.161541,0.025073,-7.646371,0.054761
0.595238,677.137430,459276.982502,0.119699,-3.193714,0.000786,0.330983,0.013356,0.000007,0.000021,0.009230,0.000058,0.074659,0.001243,-0.000000,0.000000,0.031342,0.000155,0.887351,0.008472,0.005494,0.000035,-1.696180,0.030046,-8.436978,0.051939
0.568182,642.100879,413040.258209,0.111708,-3.164444,0.000768,0.408617,0.012370,-0.000005,0.000035,0.011567,0.000100,0.114472,0.001869,-0.000000,0.000000,0.035189,0.000084,1.094020,0.007301,0.006572,0.000057,-2.298548,0.030727,-9.363202,0.047671
0.543478,609.109925,371753.883819,0.073392,-3.127978,0.000528,0.507296,0.013665,-0.000020,0.000024,0.014354,0.000057,0.172731,0.001098,-0.000000,0.000000,0.040071,0.000168,1.398360,0.014672,0.007801,0.000031,-3.011230,0.017616,-10.632042,0.080893
0.520833,577.857440,334652.074054,0.201134,-3.083931,0.001509,0.605294,0.024776,0.000007,0.000038,0.017537,0.000123,0.253165,0.003858,-0.000000,0.000000,0.045745,0.000363,1.780799,0.028115,0.009134,0.000064,-3.811871,0.045275,-11.975436,0.107918
0.500000,547.681537,300700.508921,0.269417,-3.028762,0.002105,0.772222,0.027917,-0.000044,0.000035,0.021245,0.000107,0.369163,0.004580,0.000000,0.000000,0.053135,0.000318,2.386591,0.032501,0.010622,0.000053,-4.792111,0.050200,-13.971363,0.147912
0.480769,518.253644,269348.991348,0.285877,-2.960811,0.002323,0.952408,0.031912,0.000008,0.000065,0.025615,0.000191,0.533577,0.008780,-0.000000,0.000000,0.061905,0.000357,3.193437,0.046229,0.012315,0.000092,-5.943087,0.070465,-16.194596,0.170020
0.462963,488.612948,239546.401538,0.457078,-2.872672,0.003857,1.230339,0.049821,0.000005,0.000051,0.030897,0.000233,0.770009,0.010989,-0.000000,0.000000,0.073083,0.000680,4.420158,0.091672,0.014304,0.000108,-7.306888,0.066368,-19.158492,0.242503
0.446429,458.635495,211174.064703,0.651166,-2.763061,0.005698,1.439406,0.038019,0.000004,0.000050,0.037210,0.000238,1.107156,0.016344,-0.000000,0.000000,0.086984,0.001037,6.183156,0.155044,0.016612,0.000106,-8.917569,0.093300,-22.691009,0.331334
