beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
12.500000,1505.532380,2268138.378764,0.217757,-0.440958,0.000136,0.039467,0.084762,-0.000035,0.000080,0.009061,0.000087,0.031470,0.000589,-0.000000,0.000002,1.184776,0.012300,511.967974,10.030806,0.113259,0.001086,-0.157663,0.013690,-143.027413,1.364570
6.250000,747.282159,559196.347459,0.130819,-0.434103,0.000164,0.143930,0.020584,-0.000023,0.000113,0.018955,0.000188,0.138501,0.003130,0.000001,0.000002,0.977640,0.014211,353.638173,9.938606,0.118468,0.001173,-1.435362,0.033966,-119.552265,1.677509
4.166667,491.175746,241771.032612,0.124475,-0.420955,0.000233,0.204906,0.018828,0.000001,0.000042,0.029794,0.000121,0.342316,0.002825,0.000000,0.000002,0.852598,0.006305,271.230693,3.370946,0.124143,0.000503,-2.829711,0.020880,-105.037698,0.658142
3.125000,360.472007,130337.742823,0.107636,-0.401180,0.000269,0.290558,0.015576,0.000078,0.000162,0.042083,0.000181,0.685122,0.008220,0.000001,0.000002,0.761493,0.004463,216.410525,2.484207,0.131511,0.000566,-4.426541,0.045328,-93.728252,0.622967
2.500000,280.308689,78896.666317,0.113307,-0.375965,0.000354,0.338935,0.008380,0.000005,0.000143,0.055070,0.000324,1.169022,0.012540,-0.000000,0.000002,0.687440,0.005128,176.914519,2.696971,0.137675,0.000811,-6.075809,0.041743,-84.779556,0.697476
2.083333,226.279047,51473.496175,0.062685,-0.348546,0.000235,0.351610,0.011723,0.000027,0.000102,0.068711,0.000641,1.821978,0.041682,-0.000000,0.000002,0.625854,0.004331,146.952487,2.099406,0.143148,0.001335,-7.837725,0.122952,-77.264106,0.631033
1.785714,187.576660,35415.636368,0.074774,-0.320648,0.000327,0.336334,0.007163,0.000036,0.000167,0.082050,0.000324,2.601114,0.031834,0.000001,0.000003,0.581729,0.003438,127.006700,1.560718,0.146518,0.000578,-9.566880,0.090817,-71.772983,0.497641
1.562500,158.908470,25451.446206,0.093603,-0.294542,0.000468,0.317400,0.007532,-0.000076,0.000100,0.094127,0.000455,3.405134,0.029845,-0.000000,0.000003,0.539665,0.002095,109.440748,0.878360,0.147073,0.000710,-11.058493,0.063724,-66.597067,0.334190
1.388889,136.961057,18931.734087,0.057891,-0.270406,0.000326,0.284676,0.005923,-0.000011,0.000116,0.105187,0.000375,4.250865,0.037335,0.000002,0.000003,0.506489,0.003299,96.311433,1.413826,0.146093,0.000520,-12.470647,0.078240,-62.381788,0.532474
1.250000,119.801049,14504.592563,0.037396,-0.248757,0.000234,0.253897,0.005182,-0.000009,0.000115,0.115227,0.000474,5.118956,0.025426,-0.000001,0.000003,0.478973,0.001777,86.407237,0.748719,0.144034,0.000593,-13.808302,0.047004,-59.132891,0.351010
