beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
12.500000,5342.998229,28552971.304325,0.537650,-1.169687,0.000168,-0.008039,0.093736,-0.000000,0.000029,0.003790,0.000101,0.013937,0.000467,-0.000000,0.000000,4.827198,0.055481,24647.783402,488.432066,0.047379,0.001265,-0.225497,0.015830,-1700.914838,21.076030
6.250000,2670.258073,7132953.037281,0.364567,-1.168911,0.000228,0.017460,0.060575,-0.000004,0.000031,0.008182,0.000151,0.061561,0.001689,0.000000,0.000001,2.499006,0.024136,6529.872357,127.831721,0.051136,0.000943,-1.507671,0.026506,-869.924825,9.855996
4.166667,1776.970918,3159422.806140,0.332307,-1.165910,0.000312,0.078443,0.038983,-0.000015,0.000086,0.013189,0.000230,0.150688,0.003965,0.000000,0.000000,1.702984,0.022247,2953.594236,64.852162,0.054956,0.000958,-2.807823,0.044493,-577.069965,6.738291
3.125000,1325.405020,1758072.865618,0.246201,-1.156756,0.000308,0.191144,0.028616,-0.000001,0.000073,0.019524,0.000211,0.314812,0.006577,-0.000000,0.000001,1.294044,0.012838,1647.640420,33.502096,0.061011,0.000659,-4.374374,0.060790,-423.376162,4.661774
2.500000,1046.845237,1097023.028535,0.233628,-1.135696,0.000365,0.356166,0.026845,0.000002,0.000107,0.027476,0.000285,0.597147,0.016144,0.000000,0.000001,0.996568,0.008084,939.262832,15.234200,0.068690,0.000712,-6.243419,0.131158,-313.150464,3.107019
2.083333,854.860290,731754.598848,0.179188,-1.102863,0.000336,0.443715,0.021112,-0.000024,0.000046,0.036837,0.000334,1.060827,0.020489,-0.000000,0.000001,0.781200,0.007887,551.690626,11.908641,0.076743,0.000695,-8.598722,0.120511,-234.377731,2.833260
1.785714,716.168114,513733.579448,0.127641,-1.066618,0.000279,0.471201,0.015773,-0.000106,0.000134,0.046438,0.000448,1.661449,0.035370,0.000000,0.000001,0.625799,0.003963,342.243631,4.210754,0.082925,0.000800,-10.924606,0.145425,-181.290928,1.226344
1.562500,611.805931,375034.695417,0.136724,-1.029515,0.000342,0.454584,0.016239,0.000074,0.000113,0.056326,0.000552,2.443942,0.048069,0.000000,0.000000,0.521910,0.002832,230.974770,2.931224,0.088010,0.000863,-13.461723,0.153621,-146.514288,1.230801
1.388889,531.085192,282692.250590,0.160355,-0.993677,0.000451,0.428354,0.014778,0.000052,0.000093,0.065406,0.000320,3.301544,0.039219,0.000000,0.000001,0.450869,0.002369,168.545390,2.235183,0.090841,0.000444,-15.825542,0.132877,-123.603288,1.078513
1.250000,467.254747,218898.290089,0.163669,-0.960171,0.000511,0.406289,0.016812,-0.000093,0.000093,0.073989,0.000437,4.203686,0.052831,0.000000,0.000001,0.400703,0.002264,130.467645,1.464513,0.092486,0.000546,-17.937797,0.156389,-107.529207,0.670804
1.136364,415.779555,173382.940889,0.116078,-0.929242,0.000399,0.369178,0.013543,0.000020,0.000081,0.082181,0.000615,5.195804,0.075473,0.000000,0.000001,0.366960,0.002265,107.735117,1.483298,0.093388,0.000699,-20.073592,0.163661,-96.858424,0.776149
1.041667,373.571739,140016.863755,0.121317,-0.900894,0.000455,0.341536,0.009329,0.000034,0.000154,0.089665,0.000671,6.174418,0.094980,-0.000000,0.000001,0.340767,0.002146,92.292580,1.184758,0.093401,0.000699,-21.952476,0.190180,-89.275745,0.615623
0.961538,338.436206,114955.177164,0.090422,-0.874897,0.000367,0.303388,0.009245,-0.000005,0.000110,0.097168,0.000424,7.264722,0.068077,-0.000000,0.000000,0.322191,0.001696,81.650229,0.894458,0.093430,0.000407,-23.921169,0.145606,-83.471932,0.552612
0.892857,308.998061,95858.680133,0.099687,-0.851867,0.000436,0.272931,0.009096,0.000031,0.000133,0.103546,0.000424,8.229413,0.073409,-0.000000,0.000001,0.307763,0.001550,74.005222,0.770125,0.092452,0.000378,-25.491714,0.163623,-79.151888,0.479072
0.833333,283.949392,80975.220712,0.123817,-0.831013,0.000580,0.249995,0.006833,0.000035,0.000126,0.109692,0.000724,9.240315,0.133086,-0.000000,0.000001,0.296312,0.000520,68.393026,0.239602,0.091410,0.000603,-27.078251,0.233653,-75.938024,0.188200
0.781250,262.361807,69154.039909,0.070057,-0.811809,0.000350,0.226388,0.006000,0.000023,0.000114,0.115186,0.000887,10.164658,0.159241,0.000000,0.000001,0.288661,0.001559,64.633620,0.673981,0.089989,0.000693,-28.413542,0.240280,-73.634166,0.399454
0.735294,243.712689,59692.098323,0.071790,-0.794724,0.000381,0.205100,0.005283,-0.000041,0.000127,0.120728,0.000858,11.176296,0.145655,0.000001,0.000001,0.282870,0.001697,61.848456,0.790273,0.088771,0.000631,-29.856854,0.198104,-71.879802,0.574733
0.694444,227.360868,51968.106758,0.077371,-0.778905,0.000435,0.186623,0.004000,-0.000000,0.000062,0.125079,0.000414,12.015574,0.079515,-0.000000,0.000001,0.278205,0.001535,59.682559,0.743425,0.086861,0.000288,-31.021003,0.151970,-70.506856,0.548805
0.657895,213.016453,45632.409955,0.060410,-0.764785,0.000359,0.169455,0.003809,0.000014,0.000064,0.129933,0.000541,12.966106,0.117543,-0.000000,0.000001,0.274224,0.001342,57.780830,0.614794,0.085482,0.000356,-32.263136,0.189178,-69.233701,0.424728
0.625000,200.315475,40366.299725,0.099258,-0.751972,0.000620,0.155019,0.004070,-0.000022,0.000095,0.133756,0.000637,13.741865,0.158976,-0.000000,0.000001,0.270587,0.000686,56.252826,0.428496,0.083597,0.000398,-33.245291,0.261433,-68.296556,0.389671
0.595238,188.980466,35938.856234,0.078862,-0.740184,0.000518,0.141613,0.003361,0.000012,0.000100,0.137902,0.000475,14.607389,0.124751,0.000000,0.000001,0.267653,0.001172,54.957064,0.517620,0.082085,0.000283,-34.308145,0.204474,-67.441717,0.363726
0.568182,178.788428,32178.014478,0.058438,-0.729170,0.000402,0.132503,0.004227,-0.000033,0.000081,0.141995,0.000819,15.424473,0.164984,-0.000000,0.000001,0.265799,0.001115,54.125695,0.620018,0.080679,0.000465,-35.208327,0.263571,-66.876195,0.544963
0.543478,169.585027,28959.416385,0.046391,-0.718892,0.000333,0.120109,0.003099,0.000007,0.000091,0.145476,0.000631,16.252655,0.168555,0.000000,0.000001,0.263914,0.001241,53.313024,0.601515,0.079063,0.000343,-36.239461,0.259936,-66.334634,0.501501
0.520833,161.338321,26219.502051,0.058550,-0.710037,0.000439,0.109791,0.003007,-0.000030,0.000078,0.148752,0.000517,16.951740,0.149252,-0.000000,0.000001,0.263801,0.000554,53.164509,0.256977,0.077475,0.000269,-36.986005,0.212765,-66.177422,0.245485
0.500000,153.794466,23832.900184,0.063798,-0.701519,0.000498,0.102984,0.002725,-0.000018,0.000102,0.151473,0.000755,17.607873,0.218882,-0.000000,0.000001,0.262298,0.000822,52.750310,0.451601,0.075736,0.000377,-37.747142,0.341719,-66.035187,0.418704
0.480769,146.884790,21746.320730,0.058608,-0.693439,0.000476,0.094887,0.003829,-0.000007,0.000065,0.154932,0.000866,18.388659,0.230446,-0.000000,0.000001,0.261893,0.000960,52.270970,0.380220,0.074487,0.000416,-38.561374,0.288853,-65.529172,0.311246
