beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
12.500000,1338.065292,1791756.949932,0.227949,-1.172582,0.000285,0.001672,0.100009,-0.000006,0.000045,0.002788,0.000034,0.003208,0.000051,-0.000001,0.000003,4.839151,0.036027,6290.118535,83.627241,0.034854,0.000423,0.616514,0.006404,-432.265499,3.219028
6.250000,668.557196,447636.475384,0.204278,-1.171393,0.000511,-0.013248,0.054985,0.000052,0.000042,0.007742,0.000128,0.016092,0.000553,-0.000000,0.000004,2.503191,0.033355,1703.193313,55.343908,0.048390,0.000801,0.307375,0.013659,-225.752270,4.688321
4.166667,445.089492,198554.249476,0.106024,-1.169086,0.000398,0.070201,0.038251,-0.000032,0.000095,0.012951,0.000152,0.041036,0.000993,-0.000001,0.000003,1.725302,0.022581,804.248518,25.343169,0.053963,0.000632,-0.056132,0.019734,-154.352170,3.247482
3.125000,332.430688,110851.763480,0.068746,-1.162153,0.000344,0.143215,0.036056,0.000029,0.000137,0.018945,0.000265,0.082212,0.002106,0.000000,0.000004,1.311022,0.015819,453.491802,13.243383,0.059204,0.000829,-0.446267,0.019521,-114.281453,2.127766
2.500000,263.336872,69628.912924,0.058427,-1.145855,0.000365,0.301008,0.026133,-0.000021,0.000141,0.026507,0.000319,0.149490,0.003610,-0.000002,0.000004,1.033934,0.003853,277.182833,3.636911,0.066267,0.000797,-0.879668,0.025405,-88.361200,1.069776
2.083333,215.471304,46671.097360,0.144368,-1.116035,0.001083,0.433162,0.022327,0.000096,0.000233,0.035455,0.000339,0.256688,0.005582,-0.000001,0.000006,0.819384,0.009238,168.584665,3.843196,0.073865,0.000706,-1.412998,0.031359,-67.573236,0.809898
1.785714,180.286509,32716.196251,0.084345,-1.077507,0.000738,0.510583,0.014161,-0.000049,0.000194,0.045607,0.000453,0.412221,0.009672,-0.000000,0.000006,0.655735,0.004683,103.655636,1.819278,0.081440,0.000809,-2.012501,0.042737,-51.688971,0.646110
1.562500,153.640099,23790.592039,0.064375,-1.036401,0.000644,0.494809,0.015276,0.000009,0.000169,0.055551,0.000465,0.604799,0.010808,0.000002,0.000004,0.537700,0.003863,66.728205,1.063176,0.086799,0.000727,-2.628830,0.040409,-40.364086,0.386786
1.388889,133.096712,17877.434448,0.060435,-0.997338,0.000680,0.462490,0.014619,0.000070,0.000173,0.064992,0.000498,0.821827,0.013818,-0.000002,0.000005,0.459732,0.003171,47.051001,0.876107,0.090267,0.000691,-3.214730,0.043018,-33.112206,0.415420
1.250000,116.967128,13825.116366,0.060913,-0.962089,0.000761,0.419320,0.009656,0.000083,0.000190,0.074107,0.000489,1.065380,0.015124,-0.000002,0.000006,0.408009,0.002362,35.992786,0.554373,0.092633,0.000612,-3.791878,0.040017,-28.403807,0.306728
